Date,Unnamed: 0,level_0,index,Close,SP Daily Return,SP Trailing 4 Weeks Return,SP Trailing 1 Week Return,Cumulative Returns,CPIUS,MoM,YoY,RollingMean12,m2,m2_growth,MoMGrowthChange,meanvalue_x,OneYearYield,TenYield,spread,unemp_rate,unemp_growth,meanvalue_y,T10Y2Y,Inverted12months,Shiller_P/E,ConsumerConfidence,MoMConsumerConf,RollingConsConf,InflationExp,MoMInflationExp,RollingExpInfl,adjusted_value,composite_confidence_growth_yoy,MoMConfidence,RollingComp,housing_yoy,MoMRetail,RollingHousing,real_yield,detrendedm2,mom2diff,maxtight,TenYieldNorm,detrendedyield,detrendedshiller,ShillerOver,CPIDetrend,CPIDeviation,CPIGoalDev,CPIDev,CPIOver,Drawdown% 2,Drawdown% 7,Drawdown% 66,Drawdown% 132,Drawdown% 252,Forward Return,positive_ret,Forward lag_1,Forward lag_2,Forward lag_3,Forward lag_4,Forward lag_5,Forward lag_6,Forward lag_7,Forward lag_8,Forward lag_9,Forward lag_10,Anomaly,Combined Economy Score
1992-05-01,0,3218.0,591.0,412.5299987792969,-0.0058320601434925,0.0278927139575606,0.0114317806507282,0.1673175039729382,139.1,0.0036075036075036,0.0318991097922847,0.0364011815614095,3473.2,0.0281519197181847,-0.207353414780443,3429.1576923076927,3.630000114440918,7.559999942779541,3.929999828338623,7.3,-0.0135135135135135,7.199999999999999,2.23,0.0,19.66,-0.1334093500570126,4.870011402508531,-0.0011361696266594,-0.212121212121212,-0.0984848484848486,-0.2485135174627617,98.6249627378083,-0.0073614143558112,0.6750702891262168,98.95318241714824,0.0927021696252465,-0.7153984346537016,0.1144254100074174,4.370088963551069,2037.683209282162,-0.0042407558262471,0.1490312957250234,82.75754581723982,5.705737468308612,-6.12773232862375,0.0,3.2820698758130595e-05,2.8601245220126268e-05,0.0199671793012418,0.0318991097922847,0.0318991097922847,-0.5832060143492552,-0.7591261124997261,-5.4251683211257165,,,0.0056632739289208,1.0,0.0080821736290404,0.0186502533695327,0.0091076046260893,0.005843271020081,0.005879453047306,0.0068080538823926,0.0068080538823926,0.0125042771917822,0.0150909419082736,-0.0077637028170076,0.025127963769168,9.91959273553652
1992-05-08,1,3223.0,596.0,416.0499877929688,0.0004808986089166,0.0446917767523302,0.0164748380466961,0.1772778578904963,139.1,0.0036075036075036,0.0318991097922847,0.0364011815614095,3473.2,0.0281519197181847,-0.207353414780443,3429.1576923076927,3.630000114440918,7.409999847412109,3.779999732971192,7.2,-0.027027027027027,7.199999999999999,2.12,0.0,19.66,-0.1334093500570126,4.870011402508531,-0.0011361696266594,-0.212121212121212,-0.0984848484848486,-0.2485135174627617,98.6249627378083,-0.0073614143558112,0.6750702891262168,98.95318241714824,0.0927021696252465,-0.7153984346537016,0.1144254100074174,4.2200888681836375,2028.2024256971267,-0.0084989707594811,0.1490312957250234,82.93145758731309,5.92365508668982,-6.129353200818624,0.0,1.1860003684232429e-05,7.640550146228101e-06,0.0199881399963157,0.0318991097922847,0.0318991097922847,0.0,-0.580464226446269,-5.4251683211257165,,,-0.0059877857770985,0.0,-0.0079416432513569,-0.0085883950765699,-0.005564767704876,0.0023513471106917,0.0056632739289208,0.0080821736290404,0.0186502533695327,0.0091076046260893,0.005843271020081,0.005879453047306,0.0257661780523762,9.535704650843178
1992-05-15,2,3227.0,600.0,413.1400146484375,-0.0079481269337753,0.0255369040033213,-0.0011033351347714,0.1690436383240305,139.4,0.0021567217828901,0.0318282753515914,0.0350452626920147,3467.9,0.0243996100788703,-0.1332878779449836,3425.418518518519,3.569999933242798,7.340000152587891,3.7700002193450928,7.2,-0.027027027027027,7.199999999999999,2.21,0.0,19.66,-0.1334093500570126,4.870011402508531,-0.0011361696266594,-0.212121212121212,-0.0984848484848486,-0.2485135174627617,98.6249627378083,-0.0073614143558112,0.6750702891262168,98.95318241714824,0.0927021696252465,-0.7153984346537016,0.1144254100074174,4.157172617428741,2015.3177988290984,-0.0100261065247142,0.1490312957250234,83.05019745012024,6.077599628143318,-6.1306498985745215,0.0,1.1178903292944492e-05,6.9594497549401656e-06,0.019988821096707,0.0318991097922847,0.0318991097922847,-0.7948126933775282,-1.2783998926572293,-4.982199476703993,,,-0.0160643588553444,0.0,-0.0173917716095551,-0.0268584446382575,-0.0143972849660449,-0.0059877857770985,-0.0079416432513569,-0.0085883950765699,-0.005564767704876,0.0023513471106917,0.0056632739289208,0.0080821736290404,0.0217432480517494,9.71494541628768
1992-05-22,3,3231.0,604.0,415.3900146484375,-0.0023536289363842,0.0150909419082736,0.000769155951467,0.1754103616937519,139.4,0.0021567217828901,0.0318282753515914,0.0350452626920147,3467.9,0.0243996100788703,-0.1332878779449836,3425.418518518519,3.569999933242798,7.25,3.680000066757202,7.2,-0.027027027027027,7.199999999999999,2.12,0.0,19.66,-0.1334093500570126,4.870011402508531,-0.0011361696266594,-0.212121212121212,-0.0984848484848486,-0.2485135174627617,98.6249627378083,-0.0073614143558112,0.6750702891262168,98.95318241714824,0.0927021696252465,-0.7153984346537016,0.1144254100074174,4.0671724648408505,2007.7331719610704,-0.0133939377650218,0.1490312957250234,83.23250498251106,6.2951118391804926,-6.131946596330415,0.0,1.1178903292944492e-05,6.9594497549401656e-06,0.019988821096707,0.0318991097922847,0.0318991097922847,-0.2353628936384294,-1.5271979067631407,-4.982199476703993,,,-0.0370103605995245,0.0,-0.0255565220206939,-0.0043160989770001,-0.0068984024845446,-0.0160643588553444,-0.0173917716095551,-0.0268584446382575,-0.0143972849660449,-0.0059877857770985,-0.0079416432513569,-0.0085883950765699,0.020418163494445,8.961127923735898
1992-05-29,4,3234.0,606.0,414.0199890136719,0.0034415484468024,0.0068080538823926,-0.0088640187505435,0.1715336620377612,139.4,0.0021567217828901,0.0318282753515914,0.0350452626920147,3467.9,0.0243996100788703,-0.1332878779449836,3425.418518518519,3.680000066757202,7.349999904632568,3.669999837875366,7.2,-0.027027027027027,7.199999999999999,2.11,0.0,19.66,-0.1334093500570126,4.870011402508531,-0.0011361696266594,-0.212121212121212,-0.0984848484848486,-0.2485135174627617,98.6249627378083,-0.0073614143558112,0.6750702891262168,98.95318241714824,0.0927021696252465,-0.7153984346537016,0.1144254100074174,4.167172369473419,2002.0447018100492,-0.0133939377650218,0.1490312957250234,83.44839539259767,6.5374057582518645,-6.13291911964734,0.0,1.117890329294796e-05,6.959449754943635e-06,0.019988821096707,0.0318991097922847,0.0318991097922847,0.0,-0.905442048630524,-4.982199476703993,,,-0.0241050691598866,0.0,-0.0222976540740112,-0.0282144510156853,-0.0370103605995245,-0.0255565220206939,-0.0043160989770001,-0.0068984024845446,-0.0160643588553444,-0.0173917716095551,-0.0268584446382575,-0.0143972849660449,0.0235535298151105,8.65126683312666
1992-06-05,5,3243.0,615.0,413.4800109863281,0.0005323554554139,-0.0085883950765699,0.0044967455507838,0.1700057106040609,139.4,0.0021567217828901,0.0318282753515914,0.0350452626920147,3467.9,0.0243996100788703,-0.1332878779449836,3425.418518518519,3.680000066757202,7.309999942779541,3.629999876022339,7.5,0.0135135135135133,7.199999999999999,2.18,0.0,19.31,-0.0562347188264058,-0.5784799281131803,0.0049159779613779,-0.0625,-0.7053571428571428,-0.2444625915368358,98.9901650783513,-0.0058274951168019,-0.2083728974987597,98.90482857674564,0.0748031496062993,-0.1930809180767291,0.1258865580834651,4.127172407620392,1984.9792913569863,-0.0187039886747317,0.1490312957250234,84.05648693548193,7.224707828090416,-6.485836689598109,0.0,1.117890329294796e-05,6.959449754943635e-06,0.019988821096707,0.0318991097922847,0.0318991097922847,0.0,-0.9681232076498568,-4.014430018639139,,,0.001403442284664,1.0,-0.006801918399209,-0.0014993835965837,-0.0014993835965837,-0.0219505713215493,-0.0154327761355849,-0.0318903353140395,-0.0219570032164252,-0.0184001537561931,-0.0241050691598866,-0.0222976540740112,0.0260825010369891,7.874509537515559
1992-06-12,6,3248.0,620.0,409.760009765625,0.0017357828965773,-0.0173917716095551,-0.0107618191222037,0.1594793911786201,139.7,0.0021520803443326,0.03023598820059,0.0333692144585369,3468.5,0.0218601773561557,-0.1040767747724674,3423.70701754386,3.660000085830689,7.289999961853027,3.629999876022339,7.5,0.0135135135135133,7.199999999999999,2.23,0.0,19.31,-0.0562347188264058,-0.5784799281131803,0.0049159779613779,-0.0625,-0.7053571428571428,-0.2444625915368358,98.9901650783513,-0.0058274951168019,-0.2083728974987597,98.90482857674564,0.0748031496062993,-0.1930809180767291,0.1258865580834651,4.266401141794024,1976.0985077719504,-0.0185309882706317,0.1490312957250234,84.20281258034777,7.415039321264189,-6.487457561792979,0.0,4.132008520521535e-06,8.744501748279134e-08,0.0199958679914794,0.0318991097922847,0.0318991097922847,0.0,-1.5067260377271594,-4.014430018639139,-6.243313377755726,,0.0142281078056514,1.0,0.0180969800299259,0.0101692763316634,-0.0074510999647103,-0.0104479230178832,0.001403442284664,-0.006801918399209,-0.0014993835965837,-0.0014993835965837,-0.0219505713215493,-0.0154327761355849,0.0280387414343658,9.155457960106768
1992-06-19,7,3253.0,625.0,403.6700134277344,0.0067588338747255,-0.0370103605995245,-0.0221918893764203,0.1422468036204143,139.7,0.0021520803443326,0.03023598820059,0.0333692144585369,3468.5,0.0218601773561557,-0.1040767747724674,3423.70701754386,3.650000095367432,7.239999771118164,3.5899996757507324,7.5,0.0135135135135133,7.199999999999999,2.24,0.0,19.31,-0.0562347188264058,-0.5784799281131803,0.0049159779613779,-0.0625,-0.7053571428571428,-0.2444625915368358,98.9901650783513,-0.0058274951168019,-0.2083728974987597,98.90482857674564,0.0748031496062993,-0.1930809180767291,0.1258865580834651,4.2164009510591605,1966.6177241869157,-0.0160805321787531,0.1490312957250234,84.24719005861593,7.5034226478402815,-6.489078433987853,0.0,4.132008520521535e-06,8.744501748279134e-08,0.0199958679914794,0.0318991097922847,0.0318991097922847,0.0,-2.274005434090951,-4.188869313093776,-6.243313377755726,,0.0318984657259873,1.0,0.0332123129996106,0.0225803317381461,0.0165980097413178,0.0193283451810886,0.0142281078056514,0.0180969800299259,0.0101692763316634,-0.0074510999647103,-0.0104479230178832,0.001403442284664,0.031059071665084,9.41330193381512
1992-06-26,8,3255.0,627.0,404.0400085449219,0.0015865509621244,-0.0222976540740112,-0.0138124778513475,0.1432937620912053,139.7,0.0021520803443326,0.03023598820059,0.0333692144585369,3468.5,0.0218601773561557,-0.1040767747724674,3423.70701754386,3.680000066757202,7.25,3.569999933242798,7.5,0.0135135135135133,7.199999999999999,2.15,0.0,19.31,-0.0562347188264058,-0.5784799281131803,0.0049159779613779,-0.0625,-0.7053571428571428,-0.2444625915368358,98.9901650783513,-0.0058274951168019,-0.2083728974987597,98.90482857674564,0.0748031496062993,-0.1930809180767291,0.1258865580834651,4.226401179940996,1962.8254107529012,-0.0160805321787531,0.1490312957250234,84.25678518286942,7.530620111416951,-6.489726782865798,0.0,4.132008520511127e-06,8.74450174931997e-08,0.0199958679914794,0.0318991097922847,0.0318991097922847,0.0,-2.274005434090951,-4.188869313093776,-6.243313377755726,,0.0186663333991745,1.0,0.0249956548721863,0.0318984657259873,0.0332123129996106,0.0225803317381461,0.0165980097413178,0.0193283451810886,0.0142281078056514,0.0180969800299259,0.0101692763316634,-0.0074510999647103,0.0272977897026746,9.67913348136448
1992-07-03,9,3263.0,634.0,411.7699890136719,-0.0026884708777691,-0.0014993835965837,0.0235002754828019,0.1651669386680396,139.7,0.0021520803443326,0.03023598820059,0.0333692144585369,3468.5,0.0218601773561557,-0.1040767747724674,3423.70701754386,3.240000009536743,6.929999828338623,3.68999981880188,7.8,0.0263157894736842,7.766666666666667,2.38,0.0,19.62,0.0114942528735633,-1.204397801099452,0.0171872981511726,-0.0645161290322581,0.0322580645161298,-0.2424859944463867,99.1980864117354,-0.003560864096018,-0.3889545980482515,98.87528747620996,0.0715667311411991,-0.0432658047439702,0.1345033861779408,3.906401008279619,1947.656157016845,-0.0186714349406198,0.1490312957250234,84.09126906073078,7.435513346571014,-6.182320178377591,0.0,4.132008520514596e-06,8.744501748973025e-08,0.0199958679914794,0.0318991097922847,0.0318991097922847,0.0,-0.2688470877769148,-4.188869313093776,-6.243313377755726,,0.0323481741739473,1.0,0.0274413544813858,0.0386631994240738,0.032498675760697,0.0348741513965318,0.0208871143325117,0.0192155552594952,0.0198989650958043,0.0186663333991745,0.0249956548721863,0.0318984657259873,0.0344545978272269,10.013030708697489
