Date,T10Y2Y,Close,TenYield,CPIUS,m2,unemp_rate,Trade Balance,Shiller_PE,Inverted12months,SP Daily Return,Cumulative Returns,Trade Balance MoM,Trade Balance YoY,Trade Balance Rolling 12,Real_Yield,CPI YoY
2000-01-01,0.21,1469.25,6.43499994277954,168.7,4683.9,4,-28003,43.77,0,,,0,0,,,
2000-01-02,0.21,1469.25,6.43499994277954,168.7,4683.9,4,-28003,43.77,0,0,0,0,0,,,
2000-01-03,0.2,1455.21997070313,6.5479998588562,168.7,4683.9,4,-28003,43.77,0,-0.00954910961162159,-0.00954910961162159,0,0,,,
2000-01-04,0.19,1399.42004394531,6.4850001335144,168.7,4683.9,4,-28003,43.77,0,-0.0383446680784977,-0.0475276202516165,0,0,,,
2000-01-05,0.24,1402.10998535156,6.59899997711182,168.7,4683.9,4,-28003,43.77,0,0.00192218299136715,-0.0456967940435171,0,0,,,
2000-01-06,0.22,1403.44995117188,6.54899978637695,168.7,4683.9,4,-28003,43.77,0,0.000955678109643143,-0.0447847873596222,0,0,,,
2000-01-07,0.21,1441.46997070313,6.50400018692017,168.7,4683.9,4,-28003,43.77,0,0.0270903992689611,-0.0189076258614088,0,0,,,
2000-01-08,0.21,1441.46997070313,6.50400018692017,168.7,4683.9,4,-28003,43.77,0,0,-0.0189076258614088,0,0,,,
2000-01-09,0.21,1441.46997070313,6.50400018692017,168.7,4683.9,4,-28003,43.77,0,0,-0.0189076258614088,0,0,,,
2000-01-10,0.19,1457.59997558594,6.55800008773804,168.7,4683.9,4,-28003,43.77,0,0.0111899694136151,-0.00792923220286701,0,0,,,
2000-01-11,0.22,1438.56005859375,6.66400003433228,168.7,4683.9,4,-28003,43.77,0,-0.0130625118764384,-0.0208881683894844,0,0,,,
2000-01-12,0.23,1432.25,6.69600009918213,168.7,4683.9,4,-28003,43.77,0,-0.00438637132739406,-0.025182916453973,0,0,,,
2000-01-13,0.23,1449.68005371094,6.61800003051758,168.7,4683.9,4,-28003,43.77,0,0.0121697006185635,-0.0133196843893566,0,0,0,0.23,
2000-01-14,0.25,1465.15002441406,6.67399978637695,168.7,4683.9,4,-28003,43.77,0,0.0106712999627225,-0.0027905227741617,0,0,0,0.25,
2000-01-15,0.25,1465.15002441406,6.67399978637695,168.7,4683.9,4,-28003,43.77,0,0,-0.0027905227741617,0,0,0,0.25,
2000-01-16,0.25,1465.15002441406,6.67399978637695,168.7,4683.9,4,-28003,43.77,0,0,-0.0027905227741617,0,0,0,0.25,
2000-01-17,0.25,1465.15002441406,6.67399978637695,168.7,4683.9,4,-28003,43.77,0,0,-0.0027905227741617,0,0,0,0.25,
